model_name,task,target_label,n_samples,n_features_text,n_features_numeric,train_size,test_size,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,timestamp,notes
naive_bayes_toxic_v1,binary_classification,IsToxic,997,2065,5,0.7993981945837513,0.20060180541624875,0.76,0.8333333333333334,0.5978260869565217,0.6962025316455697,0.8014291465378421,97,11,37,55,2025-11-28T02:11:06,"Naive Bayes + TF-IDF (1,2) + 5 numeric features on text_classic"
svm_toxic_v1,binary_classification,IsToxic,997,1136,5,0.7993981945837513,0.20060180541624875,0.705,0.6941176470588235,0.6413043478260869,0.6666666666666666,0.7606682769726247,82,26,33,59,2025-12-01T09:00:24.702598,"LinearSVC + TF-IDF (1,2) + 5 numeric features on text_classic"
